id,annotator,position,question,table_file,answer_coordinates,answer_text
56,0,0,Wie viele Frauen wurden in den Mitarbeiterkennzahlen (nach Köpfen) an den Berichtsstichtagen im Jahr 2021 in der Bank erfasst?,tables/hypo54.csv,"[(1, 6)]",['0']
23,0,0,Wie hoch ist die Gesamtanzahl der Vollzeitäquivalente (VZÄ) für männliche Mitarbeitende in Osteuropa?,tables/table24.csv,"[(1, 3)]",['0']
2,0,0,Wie hoch ist das Kreditrisiko von physischen Risikoarten?,tables/table3.csv,"[(1, 2)]",['mittel']
6,0,0,Wie hoch sind die direkten THG-Emissionen für Scope 1 für den Immobiliensektor?,tables/table7.csv,"[(0, 3)]",['212']
56,1,0,Wie viele Frauen arbeiteten im Bankensektor im Jahr 2022?,tables/hypo54.csv,"[(7, 4)]",['408']
7,0,0,Wie hoch war die Intensität der indirekten THG-Emissionen (kg CO2e je m2) im Nahrungsmittelsektor?,tables/table8.csv,"[(3, 4)]",['58.0']
7,1,0,Wie hoch ist die Intensität der indirekten THG-Emissionen im Finanzdienstleistungssektor?,tables/table8.csv,"[(2, 2)]",['1.207']
22,0,0,Wie viele weibliche Angestellte gibt es insgesamt auf Hierarchieebene 3?,tables/table23.csv,"[(2, 3)]",['80.64']
5,0,0, Wie hoch war die Stromintensität je konditionierter Fläche in Quadratmetern für den Finanzbereich?,tables/table6.csv,"[(1, 2)]",['177']
26,0,0,"Wie hoch war der Wert für die Alterskategorie größer als 30 und kleiner als 50 Jahre""?""",tables/table27.csv,"[(4, 1)]",['54.73']
20,0,0,Wieviel ist die gesamte Anzahl an vollzeitäquivalente?,tables/table21.csv,"[(2, 1)]",['232.65']
81,0,0,Welches Geschlecht arbeitet am häufigsten?,tables/volks77.csv,"[(2, 1)]",['M']
26,1,0,Wie viele VZÄ waren weiblich?,tables/table27.csv,"[(0, 1)]",['74.21']
24,0,0,Wie viele VZÄ waren 50 Jahre oder älter?,tables/table25.csv,"[(2, 1)]",['427.4']
32,0,0,Welches Geschlecht hatte gesamt 148.46 VZÄ?,tables/table33.csv,"[(1, 0)]",['mÃ¤nnlich']
29,0,0,Wie viele VZÄ waren in der Hirarchie-Ebene 3 weiblich?,tables/table30.csv,"[(1, 1)]",['22.54']
56,2,0,ungültig,tables/hypo54.csv,"[(2, 0)]",['MÃ¤nner']
54,0,0,Wie hoch ist der %-Anteil des Gesamtportfolios im Jahr 2023?,tables/hypo29.csv,"[(4, 1)]",['0.0736']
80,0,0,Wie hoch ist der ausstehende Beitrag der Kategorie D Energieversorgung?,tables/volks61.csv,"[(4, 1)]",['49']
20,1,0,ungültig,tables/table21.csv,"[(1, 1)]",['56.02']
21,0,0,Wie viele Mitarbeiter sind weiblich (in VZÄ),tables/table22.csv,"[(0, 1)]",['789.09']
32,1,0,Wie viel vollzeit Mitarbeiter gibt es in gesamt?,tables/table33.csv,"[(2, 1)]",['289.15']
54,1,0,Wie hoch war der Wert des Green Bonds im Jahr 2021 in Tausend Euro (TEUR)?,tables/hypo29.csv,"[(0, 3)]",['68.876']
81,1,0,Um welchen Wert änderten sich die VZA bei den angestellten Mitarbeitenden im Jahr 2023?,tables/volks77.csv,"[(6, 3)]",['1609']
22,1,0,Wie viele weibliche Vollzeitäquivalente gibt es insgesamt?,tables/table23.csv,"[(4, 1)]",['789.09']
24,1,0,Wie viele Vollzeitäquivalente gibt es in der Altersgruppe über 30 und unter 50 Jahren?,tables/table25.csv,"[(1, 1)]",['862.59']
58,0,0,Wie hoch ist der Anteil der männlichen Gesamtbelegschaft im Konzern im Jahr 2021?,tables/hypo57b.csv,"[(1, 5)]","['43,30 %']"
21,1,0,Wie viele befristet angestellte weibliche Mitarbeiter gibt es?,tables/table22.csv,"[(2, 1)]",['0.0']
78,0,0,Wie viel Druck und Kopierpapier wurde 2023 in kg im jahr 2023 verbraucht?,tables/volks60a.csv,"[(0, 2)]",['75083']
56,3,0,Lauf dem Berichtsstichtag hatten Banken im Jahr 2022 wie viele Mitarbeiter?,tables/hypo54.csv,"[(3, 4)]",['796']
80,1,0,"Wi hoch ist der ausstehende Betrag (in Mio EUR) des Industriezweigs Business Loans Listed and Unlisted Equity""?""",tables/volks61.csv,"[(0, 1)]",['12015']
8,0,0,In welchem Sektor betrug das Bruttosaldo 943 Mio. EUR?,tables/table9.csv,"[(3, 0)]",['D -  Energieversorgung']
31,0,0,In welche Alterskategorie fallen die meisten Studenten der FHV?,tables/table32.csv,"[(0, 0)]",['< 30 Jahre']
29,1,0,ungültig,tables/table30.csv,"[(0, 3)]",['40.52']
55,0,0,ungültig,tables/hypo30.csv,"[(3, 0)]",['Sonstiges']
2,1,0,ungültig,tables/table3.csv,"[(0, 2)]",['gering']
3,0,0,ungueltig,tables/table4.csv,"[(0, 1)]",['VerÃ¤nderung der Temperatur und deren VariabilitÃ¤t nach oben']
30,0,0,Wie schneidet Deutschland bei den gesamten VZA ab?,tables/table31.csv,"[(1, 2)]",['116.08']
28,0,0,Wie viele weibliche unbefristete Angestellte gibt es?,tables/table29.csv,"[(1, 1)]",['1201.98']
2,2,0,Nennen Sie eine Risikoart,tables/table3.csv,"[(2, 0)]",['Beteiligungsrisi-ko']
6,1,0,ungültig,tables/table7.csv,"[(2, 5)]",['ka']
54,2,0,In welchem Jahr war das Investment am geringsten? ,tables/hypo29.csv,"[(3, 3)]",['101.776']
28,1,0,Wie viele der Angestellten sind weiblich?,tables/table29.csv,"[(0, 1)]",['1209.98']
75,0,0,ungültig,tables/volks58.csv,"[(5, 0)]",['Volksbank Steiermark AG']
53,0,0,Wie viel Prozent des Umsatzes in EUR machte die Schweiz im Jahr 2023 aus?,tables/hypo27.csv,"[(2, 1)]",['0.69%']
25,0,0,"Welches Geschlecht hat gesamt 91,23 Stunden VZÄ vollbracht?",tables/table26.csv,"[(1, 0)]",['mÃ¤nnlich']
3,1,0,Was ist bei Kältewellen chronisch?,tables/table4.csv,"[(1, 1)]",['VerÃ¤nderung der Temperatur und deren VariabilitÃ¤t nach unten']
56,4,0,Wie viele Vorstände hatten Konzerne im Jahr 2021?,tables/hypo54.csv,"[(0, 5)]",['3']
28,2,0,Wie hoch ist der Anteil der männlichen befristeten Angestellten? ,tables/table29.csv,"[(2, 2)]",['7.0']
25,1,0,Wie hoch ist der Anteil der Vollzeitäquivalente von Personen ueber 50?,tables/table26.csv,"[(5, 1)]",['6.75']
56,5,0,Wie viele Mitarbeiter hatte der Konzern in 2021?,tables/hypo54.csv,"[(6, 5)]",['825']
57,0,0,Wie hoch war der Frauenanteil im Vorstand des Konzerns in 2022?,tables/hypo57a(problematic).csv,"[(0, 3)]","['0,0 %']"
21,2,0,Wie viele Vollzeitbeschäftigte gibt es insgesamt?,tables/table22.csv,"[(3, 3)]",['1311.45']
27,0,0,Wie groß ist das Vollzeitäquivalent für alle Geschlechter?,tables/table28.csv,"[(2, 1)]",['90']
80,2,0,Wieviel muss der Industriezewei F Bau wegen THG-Emissionen vom Jahr 2023 noch zahlen?,tables/volks61.csv,"[(6, 1)]",['318']
3,2,0,Welche Veränderung ist mit Sturmschäden verbunden?,tables/table4.csv,"[(5, 1)]",['VerÃ¤nderung von Windgeschwindigkeiten nach oben']
4,0,0, Wie hoch war die Energie in MWh aus erneuerbaren Quellen im Bereich Finanz,tables/table5.csv,"[(2, 2)]",['20249']
81,2,0,Wie viele Mitarbeitende nach Vollzeitäquivalenten (VZÄ) waren im Jahr 2023 weiblich?,tables/volks77.csv,"[(4, 3)]",['1644']
26,2,0,Wie hoch war der Anteil der Mitarbeitenden unter 30 Jahren im Jahr 2023 in Vollzeitäquivalenten (VZÄ)?,tables/table27.csv,"[(3, 1)]",['50.56']
55,1,0,Wie hoch waren die Kultur-Ausgaben in Tausend Euro im Jahr 2023?,tables/hypo30.csv,"[(2, 1)]",['16']
27,1,0,Wie viele männliche Mitarbeitende gab es in Vollzeitäquivalenten (VZÄ)?,tables/table28.csv,"[(1, 1)]",['23']
3,3,0,Welche klimatischen Veränderungen können Dürre verursachen?,tables/table4.csv,"[(3, 1)]",['VerÃ¤nderung der NiederschlagsintensitÃ¤t nach unten und/oder Temperatur nach oben']
32,2,0,Wie viele Frauen arbeiten in Vollzeitäquivalenten?,tables/table33.csv,"[(0, 1)]",['140.69']
81,3,0,Wie viele weibliche Mitarbeitende gab es im Jahr 2023 nach Köpfen?,tables/volks77.csv,"[(1, 3)]",['2259']
56,6,0,Wie viele Männer waren im Jahr 2022 in der Bank tätig?,tables/hypo54.csv,"[(5, 4)]",['344']
8,1,0,"Wie hoch waren die Emissionen (t CO2e) im Scope 1 für den Sektor Verarbeitendes Gewerbe/Herstellung von Waren""?""",tables/table9.csv,"[(2, 2)]",['1571627']
35,0,0,Wie hoch ist die geleistete Zahl an Stunden VZÄ der befristeten weiblichen Angestellten?,tables/table36.csv,"[(2, 1)]",['0.0']
86,0,0,Wie viele durchschnittliche Ausbildungsstunden hatten weibliche Mitarbeitende insgesamt?,tables/volks81.csv,"[(1, 3)]",['39.35']
64,0,0,Wie hoch ist die Veränderung der THG-Emissionen in Tonnen CO2 äquivalent der Bank im Jahr 2023,tables/hypo65d.csv,"[(3, 2)]",['-292']
60,0,0,Wie viele durchschnittliche Ausbildungsstunden pro Mitarbeiter wurden im Jahr 2023 im Konzern durchgeführt?,tables/hypo61.csv,"[(0, 1)]",['32.9']
69,0,0,Welches Kapitel im Bericht behandelt die nachhaltigen Produkte und Services im Zusammenhang mit Umwelt- und Sozialbelangen?,tables/volks24.csv,"[(1, 0)]",['Nachhaltige Veranlagung']
47,0,0,Wie hoch war der Anteil der weiblichen Angestellten Vollzeitäquivalenten?,tables/table54.csv,"[(0, 1)]",['12.12']
85,0,0,Wie viele Mitarbeitende mit Führungsverantwortung gab es im Jahr 2023?,tables/volks79d.csv,"[(0, 3)]",['422']
49,0,0,Wie hoch ist die Gesamtanzahl der Vollzeitäquivalente (VZÄ) für alle Geschlechter?,tables/table56.csv,"[(2, 0)]",['Gesamt']
70,0,0,Welches Volumen hatten die Volksbanken-Verbund-Union Fonds im Jahr 2022?,tables/volks32.csv,"[(0, 3)]",['4.898.514.567']
67,0,0,Wie hoch war der Ressourcenverbrauch für Kühlung im Jahr 2023 für Bank  (in m³)?,tables/hypo68a.csv,"[(3, 3)]",['5950']
73,0,0,Wie viele Verträge gab es im Jahr 2022 im Volksbanken-Verbund und bei ERGO Kundinnen und Kunden?,tables/volks38.csv,"[(1, 5)]",['99213']
60,1,0,Wie hoch war der Anteil der Angestellten mit Führungspositionen im Bankensektor im Jahr 2023?,tables/hypo61.csv,"[(3, 2)]",['36.3']
61,0,0,Wie haben sich die THG-Emissionen im Vergleich zum Vorjahr verändert?,tables/hypo65a.csv,"[(1, 0)]",['VerÃ¤nderung zum Vorjahr in %']
62,0,0,ungültig,tables/hypo65b.csv,"[(5, 0)]",['Strom (marktbasierte Berechnung)']
65,0,0,Wie lautet die Webseite des Hypo-Verbandes?,tables/hypo23a.csv,"[(0, 1)]",['https://www.hypoverband.at']
51,0,0,Wie viele Hotelübernachtungen (Nächte) im Konzern gab es im Jahr 2021?,tables/hypo67.csv,"[(2, 6)]",['241']
46,0,0,Wie viele Mitarbeitende unter 30 Jahren gab es insgesamt nach Vollzeitäquivalenten (VZÄ)?,tables/table53.csv,"[(0, 1)]",['6.73']
65,1,0,Wie lautet die Internetadresse der Organisation turn to zero?,tables/hypo23a.csv,"[(1, 1)]",['https://www.turntozero.com']
52,0,0,ungültig,tables/hypo26.csv,"[(3, 6)]",['1.992']
82,0,0,ungültig,tables/volks79a.csv,"[(1, 2)]",['%']
72,0,0,Wie viele gemeinsame Kundinnen und Kunden mit dem Volksbanken-Verbund gab es im Jahr 2022?,tables/volks36.csv,"[(1, 3)]",['Anzahl 48.636']
62,1,0,Wie hoch waren die THG-Emissionen durch Erdgas in Tonnen CO2-Äquivalent im Konzern 2023?,tables/hypo65b.csv,"[(1, 1)]",['176']
81,4,0,Wie viele männliche Angestellte Vollzeitäquivalente  gab es im Jahr 2023?,tables/volks77.csv,"[(7, 3)]",['142']
62,2,0,Wie hoch waren die direkten THG-Emissionen (Scope 1) im Konzern im Jahr 2022?,tables/hypo65b.csv,"[(0, 3)]",['439']
50,0,0,Wie hoch war der Gesamtverbrauch nicht erneuerbarer Brennstoffe in der Bank im Jahr 2023?,tables/hypo66.csv,"[(4, 2)]",['1.387.611']
70,1,0,Wie hoch war der Anteil nachhaltiger Fonds am Volumen Union Investment im Jahr 2021?,tables/volks32.csv,"[(1, 4)]",['37.28']
47,1,0,"Wie hoch ist die Anzahl der teilzeitbeschäftigten Angestellten, die weiblich sind?",tables/table54.csv,"[(5, 1)]",['5.42']
47,2,0,Wie hoch sind die gesamt-VZÄ für Männer?,tables/table54.csv,"[(1, 1)]",['4.08']
45,0,0,Wie hoch ist der ANteil der männlichen Vollzeit-Äquivalente in Österreich?,tables/table52.csv,"[(1, 1)]",['25.16']
67,1,0,Wie hoch ist der Anteil der Bank im Jahr 2021?,tables/hypo68a.csv,"[(2, 7)]",['5239']
59,0,0,Wieviele Ausfalltage wurden in Banken im Jahr 2023 gemeldet?,tables/hypo59.csv,"[(1, 2)]",['5851']
67,2,0,Wie hoch war der Wasserverbrauch des Konzerns in 2023?,tables/hypo68a.csv,"[(1, 2)]",['7037']
85,1,0,Wieviel % an weibliche Führungskräfte waren 2022 angestellt?,tables/volks79d.csv,"[(1, 4)]",['25']
49,1,0,Wie groß ist das VZÄ der männlichen Mitarbeitern?,tables/table56.csv,"[(1, 1)]",['0.36']
59,1,0,Wieviele Krankenstandstage pro Mitarbeiter hatten die Banken im Jahr 2023?,tables/hypo59.csv,"[(2, 2)]",['9.0']
51,1,0,Wieviel Liter Benzin verbrauchte der KFZ-Fuhrpark von Banken in 2021?,tables/hypo67.csv,"[(0, 7)]",['7.129']
67,3,0,Wie viele Kilogramm Elektroschrott fielen im Jahr 2023 in der Bank an?,tables/hypo68a.csv,"[(6, 3)]",['2146']
72,1,0,Wie hoch ist der Bestand des fairen Kredits im Volksbankenverbund im Jahr 2023?,tables/volks36.csv,"[(0, 1)]",['TEUR 721.575']
52,1,0,Wie viel tausend Euro hat der Konzern IFRS 2022 in der Kategorie Sonstige Ertraege?,tables/hypo26.csv,"[(5, 3)]",['35.796']
69,1,0,Für wen war das Kapitel Mitarbeitergesundheit und -sicherheit gedacht?,tables/volks24.csv,"[(5, 1)]",['Mitarbeitende']
84,0,0,Was sank von 2022 auf 2023?,tables/volks79c.csv,"[(0, 0)]",['Mitarbeitende ohne FÃ¼hrungsverantwortung']
46,1,0,"Was ist die Gesamtzahl der Menschen, die ueber 50 Jahre alt sind?",tables/table53.csv,"[(2, 1)]",['32.74']
83,0,0,Wie viele Vorstaende waren im Jahr 2023 beschaeftigt?,tables/volks79b.csv,"[(0, 3)]",['19']
60,2,0,Wie viel Prozent der männlichen Mitarbeiter des Konzerns befanden sich 2023 in Aus- und Weiterbildung?,tables/hypo61.csv,"[(2, 1)]",['39.8']
66,0,0, Wie oft finden Sitzungen des Aufsichtsrats statt?,tables/hypo23b.csv,"[(2, 2)]",['5 x jÃ¤hrlich']
84,1,0,Wie hoch war der Anteil der männlicher Mitarbeitenden ohne Führungsverantwortung im Jahr 2022?,tables/volks79c.csv,"[(2, 4)]",['36']
62,3,0,Wie hoch waren die THG-Emissionen durch Fernwärme (ortsbasierte Berechnung) im Jahr 2023 für die Bank?,tables/hypo65b.csv,"[(6, 2)]",['55']
52,2,0,Wie hoch war der Sachaufwand im Jahr 2023 für die Bank nach UGB in Tausend Euro?,tables/hypo26.csv,"[(7, 2)]",['-42.937']
48,0,0,Wie viele Personen sind älter als 30 und jünger als 50 Jahre in der Gesamtzahl?,tables/table55.csv,"[(4, 1)]",['10']
66,1,0, Wie oft findet die Jahreshauptversammlung der Eigentümer statt?,tables/hypo23b.csv,"[(1, 2)]",['jÃ¤hrlich']
50,1,0,Wie hoch war der Energieverbrauch in kWh für Heizöl im Jahr 2022 für die Bank?,tables/hypo66.csv,"[(2, 4)]",['98.028']
17,0,0,Wie hoch ist der Gesamtwert in Vollzeitäquivalenten für Mitarbeitende unter 30 Jahren?,tables/table18.csv,"[(0, 1)]",['1217.45']
10,0,0,Wie hoch waren die finanzierten Treibhausgasemissionen (t CO2e) im Scope 1 im Jahr 2022?,tables/table11.csv,"[(1, 2)]",['240534']
37,0,0,Wie hoch ist die Gesamtanzahl der Vollzeitäquivalente (VZÄ) für weibliche Personen?,tables/table41.csv,"[(0, 1)]",['14.6']
91,0,0,Wie hoch waren die Emissionen (in t CO2e) für Scope 2 im Sektor H - Verkehr und Lagerei?,tables/table9teil2.csv,"[(0, 3)]",['49425']
92,0,0,"Wie hoch waren die gesamten Emissionen (Scope 1+2, in t CO2e) für den Sektor T?",tables/table9teil3.csv,"[(5, 4)]",['17235']
14,0,0,Wie hoch ist die Gesamtanzahl der teilzeitbeschäftigten Angestellten (in VZÄ)?,tables/table15.csv,"[(4, 5)]",['1595.89']
118,0,0,Wie hoch war der gesamte Wärmeverbrauch aus nicht-erneuerbarer Energie im Jahr 2023 im Volksbanken-Verbund?,tables/volks59aTeil3.csv,"[(6, 3)]",['12627682']
91,1,0,Wieviele Emissionen in Tonnen CO2e können Scope 1 zugeschrieben werden?,tables/table9teil2.csv,"[(2, 2)]",['2012']
18,0,0,Wieviel Vollzeitäquivalente sind gesamt angestellt?,tables/table19.csv,"[(4, 1)]",['701.64']
37,1,0,Wie viele Vollzeitäquivalente (VZÄ) gibt es für Personen über 50 Jahre?,tables/table41.csv,"[(5, 1)]",['9.66']
33,0,0,Wie viele Vollzeitäquivalente (VZÄ) gibt es für männliche Mitarbeitende?,tables/table34.csv,"[(1, 1)]",['106.97']
86,1,0,Welches Geschlecht arbeitet am meisten?,tables/volks81.csv,"[(8, 1)]",['M']
117,0,0,Wie hoch war der Heizwärmeverbrauch aus erneuerbaren Energien für die Volksbank Tirol AG im Jahr 2023 (in kWh)?,tables/volks59aTeil2.csv,"[(1, 3)]",['658117']
116,0,0,Wie hoch war der Energieverbrauch (kWh) der Volksbank Tirol AG im Jahr 2021?,tables/volks58teil2.csv,"[(0, 3)]",['1.402.794']
87,0,0,Wie hoch war der NPS-Score der Volksbank Oberösterreich AG im Jahr 2022?,tables/volks82.csv,"[(5, 3)]",['1']
12,0,0,Wie hoch war die Gesamtmenge des gefährlichen Abfalls in Tonnen im Immobiliensektor?,tables/table13.csv,"[(1, 3)]",['0.51']
9,0,0,Wie hoch ist der PCAF Score von Scope 1 und 2 ?,tables/table10.csv,"[(3, 6)]",['4.5']
19,0,0,Wie viele VZÄ waren männlich?,tables/table20.csv,"[(1, 1)]",['800.47']
117,1,0,In welchem Jahr war die Heizwärme for erneuerbare Energie der Volksbank Vorarlberg bei 623403?,tables/volks59aTeil2.csv,"[(2, 4)]",['623403']
90,0,0,Wie hoch sind die Spareinlagen und sonstige Einlagen im Jahr 2023 in TEUR?,tables/volks90.csv,"[(5, 3)]",['22208314']
15,0,0,Wie hoch ist der Anteil der weilblichen Vollzeit-Äquivalente?,tables/table16.csv,"[(2, 1)]",['66.22']
117,2,0,In welcher Einheit wird Heizwärme gemessen? ,tables/volks59aTeil2.csv,"[(4, 2)]",['kWh']
115,0,0,Wie hoch war der Anteil der Gesamtemissionen im Jahr 2022?,tables/volks57j.csv,"[(3, 2)]",['3159106']
114,0,0,Wie groß waren die indirekten Emissionen der Volksbank Wien AG im Jah 2022?,tables/volks57i.csv,"[(2, 2)]",['701.518']
19,1,0,Wie viele Mitarbeiter gibt es insgesamt?,tables/table20.csv,"[(2, 1)]",['1522.78']
34,0,0,Wie viele weibliche Mitarbeiter gibt es?,tables/table35.csv,"[(0, 1)]",['83.97']
17,1,0,Wie groß ist die VZÄ der > 50 jährigen?,tables/table18.csv,"[(2, 1)]",['1998.99']
114,1,0,Wie groß waren die Indirekten Emissionen der Volksbank Wien AG im Jahr 2023?,tables/volks57i.csv,"[(1, 1)]",['188.925']
10,1,0,Wie hoch ist das Bruttosaldo von THG-Emissionen im Stahl-Sektor?,tables/table11.csv,"[(0, 1)]",['1114.0']
115,1,0,Wie hoch waren die indirekten Emissionen (Scope 2  market based) des gesamten Volksbanken-Verbundes im Jahr 2022?,tables/volks57j.csv,"[(1, 2)]",['1021624']
35,1,0,"Wie viele Angestellte gab es im Jahr insgesamt für die männlichen und weiblichen Mitarbeitenden, zusammen?",tables/table36.csv,"[(0, 3)]",['424.15']
18,1,0,Wie viele männliche Mitarbeitende gab es in Vollzeitäquivalenten (VZÄ),tables/table19.csv,"[(1, 1)]",['972.37']
92,1,0,Wie hoch waren die Gesamtemissionen (Scope 1+2) im Sektor Gesundheits- und Sozialwesen?,tables/table9teil3.csv,"[(2, 4)]",['8281']
90,1,0,Wie hoch war der Anteil der Firmenkunden im Ausland im Jahr 2023 in TEUR?,tables/volks90.csv,"[(3, 2)]",['92260']
18,2,0,Wie viele Mitarbeiter waren im Jahr 2023 über 50 Jahre alt in Vollzeitäquivalenten,tables/table19.csv,"[(5, 1)]",['270.03']
86,2,0,ungültig,tables/volks81.csv,"[(6, 1)]",['nan']
18,3,0,Wie hoch ist die Gesamtanzahl bei weiblichen Personen?,tables/table19.csv,"[(0, 1)]",['852.62']
37,2,0,ungültig,tables/table41.csv,"[(3, 1)]",['9.86']
89,0,0,ungültig,tables/volks87.csv,"[(0, 6)]",['nan']
36,0,0,Wie viele männliche Personen sind in der Hierachie Ebene 3?,tables/table37.csv,"[(1, 2)]",['20.0']
117,3,0,Wie hoch war der gesamte Wärmeverbrauch aus nicht-erneuerbarer Energie im Volksbanken-Verbund im Jahr 2022 in kWh?,tables/volks59aTeil2.csv,"[(6, 4)]",['16367056']
17,2,0,Wie viele Vollzeitäquivalente (VZÄ) gibt es in der Alterskategorie zwischen 30 und 50 Jahre?,tables/table18.csv,"[(1, 1)]",['3725.78']
87,1,0,Wie hoch war der NPS Score der Volksbank Niederösterreich AG im Jahr 2023?,tables/volks82.csv,"[(4, 1)]",['13']
9,1,0,In welchem Sektor des Climate Policy Reports wurde eine THG-Intensität von 155 erhoben?,tables/table10.csv,"[(2, 0)]",['transportation']
37,3,0,Welche Alterskategorie hatte den größten Anteil an VZA?,tables/table41.csv,"[(4, 0)]",['> 30 und < 50']
35,2,0,Wie hoch ist  die Gesamtanzahl von unbefristeten Angestellten?,tables/table36.csv,"[(1, 3)]",['424.15']
116,1,0,Wie viele kWh wurden 2021 gesamt vom Volksbanken-Verbund verbraucht?,tables/volks58teil2.csv,"[(3, 3)]",['12.448.661']
14,1,0,Wie viele Stunden VZAE wurden von unbefristeten weiblichen Angestellten gearbeitet?,tables/table15.csv,"[(1, 3)]",['2895.38']
18,4,0,Wieviel Vollzeitäquivalente arbeiten bei Illwerke vkw in Bregenz,tables/table19.csv,"[(2, 1)]",['1824.99']
35,3,0,Wie viele Frauen waren in Vollzeit beschäftigt?,tables/table36.csv,"[(3, 1)]",['117.55']
116,2,0,Wie viele kwh Strom verbrauchten die Unternehmen im Jahr 2022?,tables/volks58teil2.csv,"[(4, 2)]",['71']
10,2,0,Wie hoch war der Bruttosaldo 2022?,tables/table11.csv,"[(4, 1)]",['179.0']
19,2,0,Wie hoch ist die Gesamtanzahl der Vollzeitäquivalente? ,tables/table20.csv,"[(5, 1)]",['64.26']
117,4,0,Wie viel kWh per m2 wurde 2021 an Heizwaerme verbraucht?,tables/volks59aTeil2.csv,"[(7, 5)]",['106']
14,2,0,Wie hoch ist die Gesamtzahl der befristeten Angestellten?,tables/table15.csv,"[(2, 5)]",['92.48']
